,X1,sex,cause_r,educ_r,age_r,location_r,random_number
47,30137,Men,Non-specified means,High School or more,20-29,Other,47
48,2792,Men,Other,High School or more,20-29,Street,48
49,27616,Men,Knife,Middle school,45-69,Street,49
50,14993,Men,Firearm,High School or more,20-29,Street,50
51,18414,Men,Asphyxiation,Primary or less,20-29,Other,51
52,16891,Women,Other,Middle school,0-19,Home,52
53,4589,Men,Knife,Middle school,45-69,Other,53
54,7950,Men,Firearm,Middle school,30-44,Street,54
55,17614,Men,Firearm,Middle school,30-44,Street,55
56,26837,Men,Firearm,High School or more,30-44,Street,56
57,10578,Men,Firearm,Middle school,20-29,Home,57
58,26116,Men,Firearm,High School or more,30-44,Street,58
59,16066,Men,Asphyxiation,Middle school,45-69,Home,59
60,5932,Men,Firearm,Middle school,30-44,Street,60
61,24199,Men,Firearm,High School or more,20-29,Street,61
62,14488,Men,Firearm,High School or more,30-44,Home,62
63,18831,Women,Other,Middle school,0-19,Street,63
64,16784,Men,Firearm,High School or more,0-19,Street,64
65,6151,Men,Firearm,High School or more,45-69,Home,65
66,27618,Men,Firearm,Middle school,30-44,Street,66
67,6350,Men,Firearm,High School or more,30-44,Street,67
68,29566,Women,Firearm,Primary or less,20-29,Street,68
69,795,Men,Firearm,High School or more,30-44,Street,69
70,18303,Women,Knife,High School or more,20-29,Home,70
71,14152,Men,Firearm,Primary or less,69 +,Street,71
72,3166,Men,Firearm,Primary or less,45-69,Street,72
73,13088,Men,Firearm,High School or more,20-29,Street,73
74,10277,Men,Firearm,High School or more,30-44,Street,74
75,18004,Men,Firearm,High School or more,30-44,Street,75
76,28337,Men,Firearm,Middle school,30-44,Other,76
77,28796,Men,Firearm,High School or more,30-44,Street,77
78,28156,Men,Firearm,Primary or less,45-69,Street,78
79,21473,Men,Knife,High School or more,30-44,Street,79
80,468,Men,Non-specified means,Primary or less,45-69,Home,80
81,24704,Men,Non-specified means,High School or more,20-29,Street,81
82,15808,Men,Asphyxiation,High School or more,30-44,Street,82
83,13434,Men,Non-specified means,High School or more,45-69,Street,83
84,8772,Men,Firearm,High School or more,45-69,Street,84
85,12434,Men,Firearm,Primary or less,30-44,Street,85
86,14715,Men,Firearm,High School or more,20-29,Other,86
87,18838,Men,Asphyxiation,High School or more,45-69,Street,87
88,3946,Men,Firearm,High School or more,45-69,Street,88
89,1963,Men,Firearm,Primary or less,30-44,Street,89
90,14835,Men,Firearm,Middle school,30-44,Other,90
91,14632,Men,Firearm,High School or more,30-44,Street,91
92,3668,Men,Firearm,High School or more,30-44,Home,92
93,17788,Men,Firearm,High School or more,45-69,Street,93
94,27999,Women,Asphyxiation,Primary or less,69 +,Street,94
95,1201,Men,Firearm,Middle school,30-44,Other,95
96,11217,Men,Firearm,Primary or less,0-19,Home,96
97,17200,Men,Firearm,High School or more,20-29,Street,97
98,21162,Men,Firearm,High School or more,30-44,Street,98
99,25185,Men,Knife,High School or more,30-44,Street,99
100,9477,Men,Firearm,High School or more,20-29,Street,100
101,23157,Men,Firearm,Middle school,30-44,Street,101
102,9718,Men,Asphyxiation,High School or more,20-29,Street,102
103,4525,Men,Firearm,Middle school,30-44,Street,103
104,27368,Women,Knife,High School or more,30-44,Home,104
105,11207,Men,Firearm,Primary or less,30-44,Street,105
106,1940,Men,Asphyxiation,High School or more,30-44,Home,106
107,25684,Men,Firearm,High School or more,30-44,Street,107
108,22428,Men,Non-specified means,High School or more,45-69,Other,108
109,11826,Men,Firearm,High School or more,45-69,Street,109
110,765,Women,Firearm,Middle school,20-29,Home,110
111,23169,Men,Other,High School or more,30-44,Other,111
112,19262,Men,Firearm,High School or more,45-69,Street,112
113,21663,Men,Firearm,Primary or less,30-44,Other,113
114,2780,Men,Firearm,High School or more,20-29,Street,114
115,25747,Men,Firearm,High School or more,30-44,Other,115
116,30623,Men,Firearm,High School or more,20-29,Street,116
117,10922,Men,Firearm,Primary or less,69 +,Street,117
118,31276,Women,Firearm,High School or more,30-44,Other,118
119,7183,Men,Firearm,High School or more,20-29,Street,119
120,18031,Women,Asphyxiation,High School or more,20-29,Home,120
121,6457,Men,Firearm,High School or more,20-29,Street,121
122,7188,Men,Non-specified means,Middle school,45-69,Street,122
123,22572,Men,Knife,High School or more,0-19,Street,123
124,24491,Men,Non-specified means,High School or more,30-44,Other,124
125,28412,Men,Firearm,High School or more,20-29,Street,125
126,31615,Men,Firearm,High School or more,20-29,Home,126
127,13270,Women,Firearm,High School or more,45-69,Street,127
128,11613,Men,Firearm,Primary or less,45-69,Street,128
129,18600,Men,Firearm,High School or more,30-44,Street,129
130,21335,Men,Knife,High School or more,20-29,Street,130
131,12149,Men,Firearm,High School or more,20-29,Street,131
132,27769,Men,Knife,High School or more,20-29,Street,132
133,6533,Men,Firearm,High School or more,20-29,Street,133
134,30722,Men,Firearm,High School or more,30-44,Street,134
135,10118,Men,Firearm,Primary or less,20-29,Street,135
136,17722,Men,Firearm,High School or more,20-29,Street,136
137,17153,Men,Firearm,High School or more,20-29,Street,137
138,7853,Men,Firearm,High School or more,0-19,Street,138
139,6557,Men,Firearm,High School or more,20-29,Street,139
140,30475,Men,Firearm,Middle school,20-29,Street,140
141,27080,Men,Firearm,High School or more,20-29,Other,141
142,22215,Men,Firearm,High School or more,30-44,Street,142
143,8568,Men,Firearm,High School or more,20-29,Street,143
144,10851,Men,Firearm,Primary or less,69 +,Street,144
145,22849,Men,Firearm,High School or more,30-44,Other,145
146,16862,Men,Firearm,High School or more,20-29,Street,146
147,20278,Men,Non-specified means,Primary or less,69 +,Other,147
148,31506,Men,Firearm,Middle school,20-29,Street,148
149,29852,Women,Knife,Middle school,20-29,Street,149
150,19032,Men,Firearm,High School or more,30-44,Street,150
151,19748,Men,Non-specified means,High School or more,45-69,Street,151
152,17580,Women,Firearm,High School or more,45-69,Home,152
153,27958,Men,Asphyxiation,Middle school,45-69,Street,153
154,8960,Men,Firearm,High School or more,30-44,Street,154
155,30113,Men,Firearm,Middle school,30-44,Home,155
156,25272,Men,Firearm,Primary or less,69 +,Other,156
157,22152,Men,Firearm,High School or more,30-44,Street,157
158,3061,Men,Knife,Middle school,30-44,Other,158
159,14833,Women,Knife,Middle school,30-44,Street,159
160,7537,Men,Firearm,High School or more,30-44,Other,160
161,21119,Men,Firearm,High School or more,20-29,Other,161
162,28925,Men,Firearm,High School or more,45-69,Home,162
163,14494,Men,Firearm,High School or more,30-44,Other,163
164,25735,Men,Firearm,Primary or less,45-69,Street,164
165,6651,Women,Knife,Primary or less,69 +,Home,165
166,8077,Men,Firearm,High School or more,30-44,Street,166
167,3486,Men,Firearm,Primary or less,45-69,Home,167
168,24238,Men,Knife,Primary or less,30-44,Home,168
169,6913,Men,Firearm,Primary or less,45-69,Home,169
170,17759,Men,Firearm,High School or more,45-69,Street,170
171,4497,Men,Other,Primary or less,69 +,Home,171
172,12647,Men,Knife,High School or more,20-29,Other,172
173,25825,Men,Firearm,Middle school,20-29,Street,173
174,1713,Men,Firearm,High School or more,20-29,Home,174
175,15932,Men,Firearm,Middle school,20-29,Street,175
176,9303,Men,Firearm,High School or more,0-19,Other,176
177,21877,Men,Firearm,Middle school,69 +,Street,177
178,26109,Men,Firearm,Primary or less,30-44,Other,178
179,14325,Men,Firearm,Middle school,45-69,Street,179
180,3961,Men,Firearm,High School or more,30-44,Street,180
181,12168,Men,Firearm,High School or more,0-19,Street,181
182,16096,Women,Asphyxiation,High School or more,20-29,Home,182
183,24053,Men,Non-specified means,Middle school,30-44,Other,183
184,22182,Men,Firearm,High School or more,20-29,Street,184
185,14485,Women,Firearm,Middle school,69 +,Home,185
186,16497,Men,Firearm,High School or more,20-29,Street,186
187,8813,Men,Firearm,Middle school,30-44,Street,187
188,9968,Men,Firearm,High School or more,30-44,Home,188
189,15358,Women,Firearm,High School or more,20-29,Street,189
190,14937,Men,Firearm,Middle school,45-69,Street,190
191,5320,Men,Firearm,High School or more,20-29,Home,191
192,28705,Men,Firearm,High School or more,30-44,Street,192
193,2253,Men,Firearm,High School or more,45-69,Street,193
194,29559,Men,Asphyxiation,Middle school,30-44,Street,194
195,14633,Women,Knife,Primary or less,69 +,Home,195
196,29365,Men,Firearm,Primary or less,30-44,Other,196
197,6786,Men,Firearm,Primary or less,69 +,Other,197
198,27088,Men,Knife,High School or more,30-44,Street,198
199,15022,Men,Asphyxiation,Primary or less,20-29,Other,199
200,23284,Women,Knife,Primary or less,20-29,Home,200
201,28737,Men,Other,High School or more,45-69,Other,201
202,1054,Men,Firearm,Middle school,20-29,Street,202
203,8113,Men,Firearm,Middle school,20-29,Street,203
204,17213,Men,Firearm,Middle school,45-69,Street,204
205,18060,Men,Non-specified means,High School or more,30-44,Other,205
206,31884,Men,Non-specified means,Primary or less,45-69,Street,206
207,27266,Men,Non-specified means,High School or more,20-29,Street,207
208,27690,Men,Firearm,High School or more,30-44,Street,208
209,7353,Men,Firearm,Middle school,30-44,Other,209
210,29515,Men,Firearm,Middle school,45-69,Street,210
211,16391,Women,Firearm,Primary or less,30-44,Street,211
212,16565,Men,Firearm,Middle school,20-29,Street,212
213,98,Men,Firearm,Middle school,30-44,Street,213
214,30518,Men,Firearm,High School or more,20-29,Street,214
215,18752,Men,Firearm,High School or more,20-29,Street,215
216,12115,Men,Knife,High School or more,30-44,Street,216
217,22234,Men,Firearm,Primary or less,20-29,Street,217
218,5370,Men,Firearm,High School or more,20-29,Other,218
219,31064,Women,Firearm,High School or more,45-69,Street,219
220,23258,Men,Firearm,High School or more,30-44,Street,220
221,858,Men,Asphyxiation,Middle school,20-29,Other,221
222,31707,Men,Firearm,High School or more,30-44,Street,222
223,7202,Men,Non-specified means,Primary or less,69 +,Other,223
224,18562,Men,Firearm,High School or more,30-44,Home,224
225,10610,Men,Firearm,Middle school,45-69,Home,225
226,2170,Men,Firearm,Middle school,0-19,Other,226
227,25399,Men,Firearm,High School or more,45-69,Other,227
228,24574,Men,Non-specified means,Middle school,0-19,Street,228
229,1955,Men,Firearm,High School or more,20-29,Other,229
230,27478,Men,Firearm,High School or more,45-69,Other,230
231,9566,Men,Firearm,High School or more,20-29,Other,231
232,30182,Men,Non-specified means,High School or more,30-44,Other,232
233,20493,Men,Firearm,High School or more,30-44,Other,233
234,18885,Women,Firearm,High School or more,30-44,Other,234
235,31095,Men,Firearm,Middle school,30-44,Street,235
236,28197,Men,Non-specified means,High School or more,45-69,Street,236
237,25954,Men,Firearm,Middle school,20-29,Street,237
238,26619,Men,Firearm,Middle school,0-19,Street,238
239,11685,Men,Firearm,Middle school,30-44,Street,239
240,26744,Men,Firearm,Primary or less,30-44,Other,240
241,20895,Men,Firearm,High School or more,30-44,Street,241
242,6916,Men,Firearm,Primary or less,20-29,Home,242
243,18624,Men,Firearm,High School or more,45-69,Home,243
244,9799,Men,Knife,Middle school,30-44,Street,244
245,5027,Men,Non-specified means,Middle school,30-44,Street,245
246,3117,Men,Firearm,High School or more,0-19,Other,246
247,20101,Men,Firearm,High School or more,30-44,Street,247
248,17430,Men,Firearm,High School or more,45-69,Street,248
249,19581,Men,Firearm,High School or more,20-29,Home,249
250,16931,Men,Non-specified means,High School or more,45-69,Other,250
251,9384,Men,Firearm,Middle school,45-69,Home,251
252,9022,Men,Asphyxiation,Middle school,20-29,Street,252
253,1561,Men,Firearm,Primary or less,30-44,Street,253
254,7156,Men,Knife,High School or more,20-29,Street,254
255,24084,Men,Other,High School or more,30-44,Home,255
256,13621,Men,Firearm,High School or more,20-29,Other,256
257,29571,Men,Firearm,High School or more,30-44,Street,257
258,24183,Men,Firearm,High School or more,20-29,Street,258
259,16575,Men,Non-specified means,Middle school,20-29,Other,259
260,86,Men,Firearm,Middle school,0-19,Home,260
261,17734,Men,Knife,High School or more,0-19,Street,261
262,10248,Men,Firearm,High School or more,0-19,Street,262
263,21557,Men,Knife,Middle school,45-69,Other,263
264,29822,Men,Firearm,Middle school,30-44,Street,264
265,30924,Men,Firearm,Middle school,20-29,Other,265
266,19785,Men,Firearm,High School or more,30-44,Home,266
267,25600,Men,Non-specified means,High School or more,30-44,Street,267
268,23215,Men,Knife,High School or more,20-29,Street,268
269,9290,Men,Firearm,Primary or less,0-19,Other,269
270,1926,Men,Asphyxiation,Primary or less,30-44,Other,270
271,20302,Women,Asphyxiation,High School or more,0-19,Home,271
272,22320,Men,Firearm,Middle school,69 +,Home,272
273,27228,Men,Knife,Middle school,30-44,Other,273
274,20445,Men,Knife,Primary or less,45-69,Other,274
275,11067,Men,Firearm,High School or more,20-29,Street,275
276,209,Men,Firearm,Primary or less,30-44,Street,276
277,28050,Men,Firearm,Primary or less,20-29,Street,277
278,10294,Men,Firearm,High School or more,30-44,Street,278
279,22814,Men,Firearm,High School or more,30-44,Street,279
280,29101,Men,Knife,High School or more,30-44,Street,280
281,8547,Men,Firearm,Middle school,20-29,Street,281
282,29092,Men,Firearm,Middle school,45-69,Home,282
283,12192,Men,Knife,High School or more,20-29,Street,283
284,9270,Men,Firearm,Middle school,30-44,Street,284
285,23001,Men,Firearm,High School or more,30-44,Other,285
286,9849,Women,Firearm,High School or more,30-44,Street,286
287,17687,Men,Firearm,Middle school,30-44,Street,287
288,1393,Men,Firearm,Primary or less,20-29,Home,288
289,31102,Men,Firearm,High School or more,30-44,Street,289
290,5024,Men,Knife,Primary or less,30-44,Street,290
291,7568,Men,Firearm,Primary or less,30-44,Street,291
292,30618,Women,Firearm,High School or more,20-29,Other,292
293,28126,Men,Non-specified means,Primary or less,69 +,Street,293
294,2724,Women,Other,Middle school,45-69,Street,294
295,30773,Men,Firearm,Middle school,20-29,Street,295
296,18532,Women,Firearm,High School or more,45-69,Home,296
297,30426,Men,Knife,High School or more,30-44,Street,297
298,10350,Men,Firearm,High School or more,30-44,Street,298
299,6823,Men,Non-specified means,Primary or less,20-29,Home,299
300,24508,Men,Firearm,Middle school,20-29,Street,300
301,13345,Men,Firearm,High School or more,20-29,Street,301
302,23841,Men,Firearm,Primary or less,20-29,Street,302
303,27435,Men,Firearm,High School or more,45-69,Street,303
304,30645,Women,Firearm,High School or more,30-44,Home,304
305,4479,Men,Firearm,Middle school,20-29,Street,305
306,24592,Men,Firearm,High School or more,20-29,Street,306
307,24865,Men,Firearm,High School or more,30-44,Other,307
308,13740,Men,Knife,Primary or less,45-69,Street,308
309,30309,Men,Firearm,Primary or less,20-29,Street,309
310,8051,Men,Firearm,High School or more,20-29,Street,310
311,22109,Women,Knife,Middle school,30-44,Other,311
312,20875,Men,Firearm,High School or more,30-44,Street,312
313,12094,Men,Non-specified means,Middle school,30-44,Street,313
314,29916,Men,Knife,High School or more,30-44,Other,314
315,14055,Men,Firearm,High School or more,30-44,Street,315
316,18280,Men,Firearm,High School or more,20-29,Street,316
317,24035,Men,Knife,Primary or less,30-44,Other,317
318,18189,Men,Asphyxiation,High School or more,45-69,Home,318
319,7676,Men,Firearm,High School or more,20-29,Street,319
320,3807,Men,Asphyxiation,Primary or less,69 +,Street,320
321,5841,Men,Firearm,Middle school,20-29,Street,321
322,27538,Men,Firearm,Primary or less,30-44,Street,322
323,30169,Men,Firearm,Primary or less,0-19,Home,323
324,24556,Women,Non-specified means,High School or more,20-29,Street,324
325,1763,Men,Firearm,Primary or less,45-69,Home,325
326,18597,Men,Firearm,High School or more,20-29,Street,326
327,26887,Men,Non-specified means,High School or more,30-44,Street,327
328,7323,Men,Non-specified means,Primary or less,45-69,Other,328
329,19306,Men,Firearm,Middle school,20-29,Street,329
330,25855,Men,Firearm,Middle school,30-44,Street,330
331,17655,Men,Non-specified means,Middle school,69 +,Street,331
332,21478,Men,Knife,High School or more,20-29,Home,332
333,16100,Men,Firearm,Middle school,45-69,Home,333
334,18331,Women,Asphyxiation,Middle school,20-29,Home,334
335,7248,Men,Knife,High School or more,0-19,Street,335
336,3826,Women,Firearm,Middle school,30-44,Home,336
337,3713,Men,Firearm,Middle school,45-69,Street,337
338,19923,Men,Firearm,Primary or less,30-44,Other,338
339,18946,Men,Firearm,Primary or less,30-44,Other,339
340,11215,Men,Other,Primary or less,69 +,Street,340
341,10985,Men,Knife,Primary or less,20-29,Street,341
342,15090,Men,Firearm,Primary or less,30-44,Home,342
343,2334,Men,Asphyxiation,Primary or less,30-44,Other,343
344,3732,Men,Other,Middle school,45-69,Other,344
345,269,Men,Firearm,Middle school,30-44,Street,345
346,24943,Men,Firearm,High School or more,0-19,Other,346
347,17422,Women,Non-specified means,Middle school,45-69,Street,347
348,8294,Men,Firearm,High School or more,20-29,Street,348
349,27400,Men,Firearm,High School or more,0-19,Street,349
350,29775,Women,Knife,Middle school,30-44,Home,350
351,25348,Men,Firearm,Middle school,20-29,Street,351
352,28096,Men,Firearm,High School or more,20-29,Other,352
353,24837,Men,Non-specified means,High School or more,30-44,Other,353
354,26096,Men,Firearm,High School or more,20-29,Other,354
355,21826,Men,Firearm,High School or more,30-44,Street,355
356,4815,Men,Firearm,High School or more,30-44,Street,356
357,23063,Men,Firearm,Primary or less,45-69,Home,357
358,6908,Women,Firearm,Primary or less,69 +,Street,358
359,27224,Men,Firearm,High School or more,30-44,Street,359
360,15142,Men,Firearm,High School or more,30-44,Other,360
361,16322,Men,Firearm,Primary or less,45-69,Street,361
362,29076,Men,Firearm,High School or more,20-29,Other,362
363,26676,Men,Firearm,Middle school,69 +,Home,363
364,7186,Men,Knife,High School or more,45-69,Street,364
365,15181,Men,Firearm,High School or more,30-44,Other,365
366,20185,Men,Asphyxiation,Primary or less,20-29,Other,366
367,13973,Men,Firearm,High School or more,45-69,Street,367
368,18129,Men,Asphyxiation,Middle school,0-19,Home,368
369,5573,Men,Firearm,High School or more,20-29,Street,369
370,10895,Men,Firearm,Primary or less,30-44,Street,370
371,4906,Men,Firearm,High School or more,30-44,Street,371
372,5752,Men,Firearm,High School or more,20-29,Street,372
373,16706,Men,Firearm,High School or more,30-44,Home,373
374,11749,Women,Asphyxiation,Middle school,20-29,Street,374
375,3996,Men,Asphyxiation,Middle school,30-44,Street,375
376,20420,Men,Firearm,Middle school,20-29,Street,376
377,21306,Women,Asphyxiation,High School or more,0-19,Other,377
378,20814,Men,Firearm,High School or more,45-69,Street,378
379,30100,Men,Firearm,High School or more,30-44,Home,379
380,20706,Men,Firearm,High School or more,45-69,Home,380
381,3525,Men,Firearm,Primary or less,45-69,Street,381
382,6880,Men,Knife,Primary or less,45-69,Home,382
383,24816,Men,Firearm,High School or more,20-29,Street,383
384,9057,Men,Firearm,High School or more,20-29,Street,384
385,14740,Men,Knife,High School or more,20-29,Street,385
386,7779,Men,Knife,High School or more,69 +,Street,386
387,20463,Women,Asphyxiation,High School or more,20-29,Other,387
388,6299,Men,Firearm,High School or more,30-44,Street,388
389,9309,Women,Firearm,Middle school,30-44,Street,389
390,22632,Men,Firearm,High School or more,30-44,Home,390
391,23329,Women,Firearm,Primary or less,45-69,Street,391
392,4871,Men,Firearm,High School or more,45-69,Street,392
393,18277,Men,Firearm,Middle school,30-44,Street,393
394,27982,Men,Knife,High School or more,20-29,Home,394
395,16410,Men,Firearm,High School or more,30-44,Street,395
396,30710,Men,Knife,High School or more,20-29,Street,396
397,15299,Women,Firearm,High School or more,20-29,Street,397
398,24214,Men,Knife,Primary or less,69 +,Street,398
399,25225,Men,Asphyxiation,Primary or less,69 +,Other,399
400,11872,Men,Firearm,High School or more,30-44,Street,400
401,45,Men,Firearm,High School or more,30-44,Street,401
402,8211,Men,Firearm,High School or more,45-69,Street,402
403,4899,Men,Firearm,Middle school,20-29,Street,403
404,3399,Men,Firearm,Primary or less,69 +,Street,404
405,26010,Men,Firearm,High School or more,20-29,Street,405
406,5691,Men,Asphyxiation,Middle school,20-29,Other,406
407,24973,Men,Firearm,High School or more,30-44,Other,407
408,31423,Men,Firearm,High School or more,20-29,Street,408
409,19558,Men,Firearm,Middle school,30-44,Home,409
410,30482,Men,Knife,Middle school,45-69,Street,410
411,9813,Women,Firearm,Primary or less,0-19,Home,411
412,28885,Men,Firearm,Middle school,30-44,Street,412
413,29766,Men,Knife,High School or more,30-44,Other,413
414,24642,Men,Firearm,High School or more,20-29,Street,414
415,30976,Men,Firearm,Middle school,30-44,Other,415
416,21044,Men,Firearm,High School or more,20-29,Street,416
417,2012,Women,Firearm,Middle school,30-44,Street,417
418,13734,Men,Non-specified means,Middle school,45-69,Street,418
419,8811,Men,Knife,Middle school,30-44,Other,419
420,27063,Men,Firearm,High School or more,30-44,Street,420
421,13952,Men,Firearm,High School or more,20-29,Other,421
422,3892,Men,Knife,Primary or less,69 +,Other,422
423,13635,Men,Knife,Primary or less,45-69,Other,423
424,2533,Men,Knife,Middle school,20-29,Home,424
425,24031,Men,Firearm,Middle school,20-29,Street,425
426,16234,Women,Firearm,High School or more,30-44,Street,426
427,4464,Men,Firearm,Middle school,20-29,Street,427
428,19028,Men,Firearm,High School or more,45-69,Other,428
429,31798,Men,Firearm,High School or more,20-29,Street,429
430,30784,Men,Firearm,High School or more,0-19,Street,430
431,11908,Men,Other,Primary or less,20-29,Other,431
432,18268,Men,Non-specified means,High School or more,45-69,Street,432
433,22961,Men,Firearm,Primary or less,69 +,Home,433
434,14094,Men,Firearm,High School or more,30-44,Street,434
435,7690,Men,Firearm,Middle school,45-69,Street,435
436,22485,Men,Knife,Middle school,30-44,Home,436
437,13578,Men,Knife,Middle school,45-69,Other,437
438,29986,Men,Firearm,High School or more,30-44,Street,438
439,27724,Men,Firearm,High School or more,30-44,Other,439
440,25098,Men,Knife,Middle school,45-69,Street,440
441,17970,Men,Non-specified means,High School or more,30-44,Street,441
442,10138,Men,Firearm,High School or more,30-44,Street,442
443,18984,Men,Firearm,Middle school,20-29,Other,443
444,20473,Men,Firearm,High School or more,20-29,Street,444
445,13975,Men,Non-specified means,Primary or less,69 +,Street,445
446,14114,Men,Non-specified means,High School or more,20-29,Street,446
447,24210,Men,Non-specified means,Primary or less,30-44,Other,447
448,5861,Men,Knife,High School or more,20-29,Other,448
449,4366,Men,Firearm,Middle school,45-69,Street,449
450,24703,Men,Non-specified means,High School or more,30-44,Home,450
451,15289,Men,Firearm,Primary or less,45-69,Other,451
452,23453,Men,Firearm,Middle school,30-44,Street,452
453,10208,Women,Non-specified means,High School or more,20-29,Street,453
454,4080,Men,Firearm,Middle school,20-29,Street,454
455,7053,Men,Firearm,High School or more,30-44,Street,455
456,10971,Men,Firearm,Primary or less,20-29,Street,456
457,7386,Men,Knife,High School or more,30-44,Street,457
458,16568,Men,Firearm,Middle school,45-69,Street,458
459,12516,Men,Firearm,Primary or less,45-69,Home,459
460,726,Men,Firearm,Primary or less,30-44,Other,460
461,26863,Men,Firearm,High School or more,30-44,Street,461
462,15236,Men,Non-specified means,Middle school,30-44,Other,462
463,13680,Men,Firearm,High School or more,45-69,Street,463
464,32,Men,Non-specified means,High School or more,30-44,Other,464
465,16246,Men,Firearm,High School or more,30-44,Street,465
466,12127,Men,Knife,High School or more,30-44,Other,466
467,24590,Men,Firearm,High School or more,20-29,Street,467
468,23656,Women,Firearm,Middle school,30-44,Street,468
469,9142,Men,Firearm,Middle school,30-44,Street,469
470,30979,Women,Firearm,High School or more,30-44,Other,470
471,26167,Men,Firearm,Middle school,0-19,Street,471
472,17278,Women,Non-specified means,High School or more,30-44,Street,472
473,31420,Men,Firearm,Middle school,45-69,Home,473
474,3858,Women,Firearm,High School or more,45-69,Home,474
475,31184,Men,Firearm,Middle school,30-44,Other,475
476,1802,Men,Asphyxiation,Primary or less,30-44,Other,476
477,24429,Men,Firearm,Primary or less,20-29,Home,477
478,14050,Men,Other,Primary or less,69 +,Street,478
479,23557,Men,Firearm,High School or more,30-44,Street,479
480,16310,Men,Non-specified means,Primary or less,30-44,Home,480
481,10292,Men,Firearm,High School or more,20-29,Street,481
482,7680,Men,Firearm,Middle school,30-44,Street,482
483,444,Men,Firearm,Middle school,20-29,Street,483
484,13563,Men,Non-specified means,Middle school,30-44,Other,484
485,22009,Men,Other,Middle school,69 +,Street,485
486,17313,Men,Other,Primary or less,30-44,Home,486
487,2064,Women,Firearm,High School or more,30-44,Home,487
488,31029,Men,Firearm,Primary or less,20-29,Other,488
489,27768,Men,Other,Middle school,30-44,Home,489
490,18878,Men,Firearm,Middle school,20-29,Other,490
491,9043,Women,Firearm,Middle school,45-69,Home,491
492,24202,Men,Non-specified means,Middle school,20-29,Other,492
493,27680,Men,Firearm,High School or more,20-29,Street,493
494,22958,Men,Firearm,Primary or less,20-29,Home,494
495,23923,Men,Firearm,High School or more,30-44,Street,495
496,388,Men,Firearm,High School or more,30-44,Other,496
497,30514,Men,Non-specified means,High School or more,45-69,Other,497
498,27201,Men,Knife,Middle school,30-44,Other,498
499,27463,Women,Firearm,High School or more,30-44,Home,499
500,11197,Men,Non-specified means,Primary or less,69 +,Street,500
501,24963,Men,Firearm,Middle school,30-44,Home,501
502,18719,Men,Firearm,Primary or less,30-44,Street,502
503,27273,Men,Firearm,High School or more,30-44,Street,503
504,254,Men,Knife,Primary or less,69 +,Other,504
505,22420,Men,Firearm,Primary or less,30-44,Street,505
506,764,Men,Non-specified means,High School or more,20-29,Other,506
507,27550,Men,Firearm,Middle school,20-29,Street,507
508,8914,Men,Firearm,Primary or less,20-29,Street,508
