"","X1","sexo2","cause_r","educ_r","age_r","location_r","random_number"
"51",51,"Men","Knife","High School or more","30-44","Home",25974
"52",52,"Men","Firearm","High School or more","20-29","Street",16463
"53",53,"Men","Asphyxiation","Middle school","30-44","Other",8851
"54",54,"Men","Firearm","High School or more","45-69","Other",24985
"55",55,"Men","Knife","High School or more","45-69","Other",18757
"56",56,"Women","Non-specified means","Primary or less","0-19","Other",28898
"57",57,"Men","Firearm","High School or more","45-69","Street",28282
"58",58,"Men","Non-specified means","Middle school","20-29","Home",10194
"59",59,"Men","Other","Middle school","30-44","Home",3341
"60",60,"Men","Other","High School or more","30-44","Other",19844
"61",61,"Men","Knife","High School or more","20-29","Other",14851
"62",62,"Men","Firearm","Middle school","30-44","Home",8883
"63",63,"Men","Asphyxiation","Middle school","30-44","Other",1464
"64",64,"Men","Firearm","Middle school","20-29","Street",13333
"65",65,"Men","Non-specified means","Primary or less","0-19","Home",18273
"66",66,"Men","Knife","Primary or less","30-44","Other",5916
"67",67,"Men","Non-specified means","Primary or less","45-69","Street",10602
"68",68,"Men","Firearm","High School or more","20-29","Street",15320
"69",69,"Men","Knife","Middle school","20-29","Street",1604
"70",70,"Men","Firearm","High School or more","30-44","Street",30042
"71",71,"Men","Firearm","Middle school","30-44","Street",10883
"72",72,"Men","Knife","Middle school","20-29","Street",15778
"73",73,"Men","Firearm","Primary or less","30-44","Street",23971
"74",74,"Men","Non-specified means","Primary or less","45-69","Street",28896
"75",75,"Men","Asphyxiation","High School or more","30-44","Home",17939
"76",76,"Men","Non-specified means","High School or more","20-29","Other",25056
"77",77,"Men","Firearm","High School or more","20-29","Street",6097
"78",78,"Men","Asphyxiation","High School or more","30-44","Street",22187
"79",79,"Men","Firearm","Primary or less","45-69","Street",26339
"80",80,"Women","Other","Middle school","69 +","Other",9094
"81",81,"Men","Non-specified means","High School or more","20-29","Street",24615
"82",82,"Women","Asphyxiation","Primary or less","30-44","Other",17092
"83",83,"Men","Firearm","Middle school","20-29","Other",20829
"84",84,"Men","Other","High School or more","20-29","Other",766
"85",85,"Men","Firearm","High School or more","30-44","Street",10051
"86",86,"Men","Firearm","Middle school","0-19","Home",260
"87",87,"Men","Firearm","Primary or less","30-44","Street",6930
"88",88,"Men","Firearm","High School or more","30-44","Home",11655
"89",89,"Men","Firearm","High School or more","30-44","Street",17666
"90",90,"Men","Firearm","Primary or less","45-69","Other",15934
"91",91,"Women","Firearm","Middle school","0-19","Other",13018
"92",92,"Men","Firearm","Primary or less","0-19","Street",9212
"93",93,"Men","Firearm","High School or more","0-19","Street",17798
"94",94,"Women","Firearm","Primary or less","45-69","Street",30715
"95",95,"Men","Non-specified means","High School or more","30-44","Other",29400
"96",96,"Women","Firearm","Middle school","20-29","Street",17412
"97",97,"Men","Non-specified means","High School or more","20-29","Home",27699
"98",98,"Men","Firearm","Middle school","30-44","Street",213
"99",99,"Men","Non-specified means","Primary or less","30-44","Street",10537
"100",100,"Men","Asphyxiation","High School or more","45-69","Other",21469
"101",101,"Men","Non-specified means","High School or more","45-69","Home",18154
"102",102,"Men","Firearm","High School or more","30-44","Street",13472
"103",103,"Men","Firearm","Primary or less","30-44","Street",11600
"104",104,"Women","Asphyxiation","Primary or less","20-29","Other",11374
"105",105,"Men","Firearm","High School or more","30-44","Other",19194
"106",106,"Men","Non-specified means","High School or more","45-69","Home",28363
"107",107,"Men","Firearm","High School or more","30-44","Street",23871
"108",108,"Women","Firearm","Primary or less","30-44","Other",14506
"109",109,"Men","Firearm","Middle school","30-44","Street",30639
"110",110,"Men","Firearm","Primary or less","30-44","Street",26418
"111",111,"Men","Asphyxiation","Primary or less","30-44","Other",5422
"112",112,"Men","Asphyxiation","Primary or less","20-29","Street",22608
"113",113,"Men","Firearm","Middle school","30-44","Other",30909
"114",114,"Men","Firearm","High School or more","0-19","Street",13459
"115",115,"Men","Firearm","High School or more","30-44","Other",10334
"116",116,"Men","Non-specified means","Primary or less","30-44","Street",24466
"117",117,"Men","Firearm","Primary or less","0-19","Other",27360
"118",118,"Men","Knife","Primary or less","45-69","Home",27290
"119",119,"Men","Firearm","Middle school","20-29","Other",17893
"120",120,"Men","Non-specified means","Primary or less","30-44","Other",567
"121",121,"Men","Asphyxiation","Primary or less","30-44","Home",21796
"122",122,"Men","Knife","Primary or less","69 +","Street",19453
"123",123,"Women","Asphyxiation","Primary or less","69 +","Other",4202
"124",124,"Men","Non-specified means","Primary or less","69 +","Other",29857
"125",125,"Men","Firearm","Middle school","20-29","Other",17401
"126",126,"Men","Firearm","High School or more","20-29","Home",16999
"127",127,"Men","Firearm","Primary or less","69 +","Other",18366
"128",128,"Men","Asphyxiation","Primary or less","30-44","Other",773
"129",129,"Men","Firearm","Primary or less","45-69","Street",18926
"130",130,"Women","Asphyxiation","Primary or less","0-19","Street",19105
"131",131,"Men","Firearm","High School or more","30-44","Street",30365
"132",132,"Men","Firearm","High School or more","0-19","Home",7028
"133",133,"Men","Firearm","Middle school","20-29","Street",1627
"134",134,"Men","Firearm","Primary or less","20-29","Street",2162
"135",135,"Men","Other","Primary or less","45-69","Home",3748
"136",136,"Men","Firearm","High School or more","30-44","Street",25820
"137",137,"Men","Non-specified means","Primary or less","69 +","Other",22259
"138",138,"Men","Firearm","Primary or less","30-44","Other",27180
"139",139,"Men","Firearm","High School or more","30-44","Home",11642
"140",140,"Men","Firearm","Primary or less","30-44","Street",30490
"141",141,"Men","Firearm","Primary or less","45-69","Other",7505
"142",142,"Men","Firearm","High School or more","30-44","Street",30829
"143",143,"Men","Firearm","Primary or less","45-69","Home",30852
"144",144,"Men","Firearm","Primary or less","30-44","Street",27179
"145",145,"Men","Firearm","High School or more","20-29","Street",27340
"146",146,"Men","Firearm","High School or more","30-44","Street",19003
"147",147,"Men","Asphyxiation","Middle school","30-44","Home",5237
"148",148,"Men","Asphyxiation","Primary or less","30-44","Other",8683
"149",149,"Men","Firearm","Primary or less","0-19","Street",29313
"150",150,"Men","Firearm","Primary or less","30-44","Other",9020
"151",151,"Men","Asphyxiation","Primary or less","20-29","Other",24762
"152",152,"Men","Non-specified means","Primary or less","30-44","Street",16913
"153",153,"Men","Firearm","Primary or less","30-44","Other",3315
"154",154,"Men","Firearm","Primary or less","30-44","Other",24957
"155",155,"Women","Knife","Primary or less","0-19","Home",31192
"156",156,"Men","Firearm","Primary or less","20-29","Street",11611
"157",157,"Men","Firearm","Primary or less","45-69","Home",11531
"158",158,"Men","Firearm","High School or more","20-29","Street",11353
"159",159,"Men","Other","High School or more","30-44","Home",7428
"160",160,"Men","Knife","Primary or less","30-44","Other",2700
"161",161,"Men","Knife","Primary or less","69 +","Other",26887
"162",162,"Men","Firearm","Primary or less","45-69","Street",8233
"163",163,"Men","Asphyxiation","Primary or less","30-44","Other",13735
"164",164,"Men","Asphyxiation","High School or more","30-44","Street",17052
"165",165,"Men","Non-specified means","Primary or less","45-69","Street",2970
"166",166,"Men","Asphyxiation","Primary or less","20-29","Street",31331
"167",167,"Women","Asphyxiation","Primary or less","69 +","Other",28370
"168",168,"Men","Asphyxiation","Primary or less","45-69","Street",26796
"169",169,"Men","Firearm","Primary or less","30-44","Street",29932
"170",170,"Men","Firearm","Primary or less","20-29","Street",11077
"171",171,"Men","Knife","Primary or less","30-44","Other",16921
"172",172,"Men","Knife","Primary or less","30-44","Other",23487
"173",173,"Men","Firearm","Primary or less","30-44","Street",30191
"174",174,"Men","Firearm","Primary or less","45-69","Other",20988
"175",175,"Men","Firearm","Primary or less","0-19","Other",5723
"176",176,"Men","Knife","Primary or less","20-29","Other",30876
"177",177,"Men","Other","Primary or less","69 +","Street",20506
"178",178,"Men","Knife","Primary or less","45-69","Other",1853
"179",179,"Men","Asphyxiation","Primary or less","69 +","Other",15441
"180",180,"Men","Firearm","Primary or less","30-44","Street",14199
"181",181,"Men","Firearm","Primary or less","69 +","Other",24044
"182",182,"Men","Firearm","Primary or less","69 +","Other",15179
"183",183,"Men","Firearm","Primary or less","45-69","Street",11380
"184",184,"Men","Firearm","Primary or less","69 +","Other",6557
"185",185,"Men","Firearm","Primary or less","30-44","Street",2377
"186",186,"Men","Firearm","Primary or less","30-44","Other",24558
"187",187,"Men","Knife","Primary or less","45-69","Street",6878
"188",188,"Women","Knife","Primary or less","20-29","Home",5974
"189",189,"Men","Firearm","Primary or less","30-44","Other",16178
"190",190,"Men","Non-specified means","Primary or less","30-44","Other",25259
"191",191,"Women","Firearm","Primary or less","30-44","Other",10919
"192",192,"Men","Other","Primary or less","20-29","Other",5333
"193",193,"Men","Knife","Primary or less","30-44","Street",16402
"194",194,"Men","Firearm","Primary or less","45-69","Other",8463
"195",195,"Women","Firearm","Primary or less","45-69","Other",4449
"196",196,"Men","Firearm","Primary or less","30-44","Other",23723
"197",197,"Men","Firearm","Middle school","45-69","Street",31295
"198",198,"Men","Firearm","Primary or less","30-44","Street",12490
"199",199,"Men","Firearm","Primary or less","30-44","Street",5078
"200",200,"Men","Asphyxiation","Primary or less","69 +","Street",31810
"201",201,"Men","Firearm","Primary or less","30-44","Other",3140
"202",202,"Men","Firearm","Primary or less","30-44","Other",4505
"203",203,"Men","Non-specified means","Primary or less","45-69","Other",1562
"204",204,"Men","Non-specified means","Primary or less","69 +","Street",8791
"205",205,"Men","Asphyxiation","Primary or less","69 +","Street",20557
"206",206,"Men","Firearm","Middle school","30-44","Street",7871
"207",207,"Men","Firearm","Primary or less","30-44","Other",14524
"208",208,"Men","Firearm","Primary or less","30-44","Street",1956
"209",209,"Men","Firearm","Primary or less","30-44","Street",276
"210",210,"Men","Asphyxiation","Primary or less","45-69","Other",30787
"211",211,"Men","Firearm","Primary or less","69 +","Street",15954
"212",212,"Men","Non-specified means","Primary or less","45-69","Other",4052
"213",213,"Women","Non-specified means","Primary or less","0-19","Home",24628
"214",214,"Men","Firearm","Primary or less","30-44","Street",24651
"215",215,"Men","Asphyxiation","Primary or less","30-44","Street",25247
"216",216,"Men","Firearm","Primary or less","45-69","Street",9358
"217",217,"Men","Asphyxiation","Middle school","69 +","Street",26326
"218",218,"Men","Firearm","Primary or less","69 +","Other",20334
"219",219,"Men","Knife","Primary or less","20-29","Home",11277
"220",220,"Men","Non-specified means","Primary or less","69 +","Street",8592
"221",221,"Men","Firearm","High School or more","20-29","Street",1027
"222",222,"Men","Firearm","Primary or less","69 +","Street",19279
"223",223,"Men","Non-specified means","Primary or less","69 +","Other",26567
"224",224,"Men","Firearm","Primary or less","30-44","Street",5461
"225",225,"Men","Non-specified means","Middle school","20-29","Street",28304
"226",226,"Men","Non-specified means","Middle school","0-19","Other",17387
"227",227,"Men","Firearm","High School or more","30-44","Street",5501
"228",228,"Men","Firearm","Middle school","0-19","Street",15346
"229",229,"Men","Firearm","Primary or less","69 +","Street",1132
"230",230,"Men","Firearm","Middle school","20-29","Street",26009
"231",231,"Women","Firearm","Middle school","20-29","Street",18099
"232",232,"Men","Firearm","Primary or less","30-44","Street",7450
"233",233,"Men","Firearm","High School or more","20-29","Street",18855
"234",234,"Men","Firearm","Middle school","20-29","Other",6083
"235",235,"Men","Knife","High School or more","20-29","Street",6904
"236",236,"Women","Asphyxiation","Primary or less","69 +","Other",11287
"237",237,"Men","Knife","Primary or less","30-44","Other",28659
"238",238,"Men","Firearm","Primary or less","30-44","Street",21696
"239",239,"Men","Non-specified means","Primary or less","30-44","Street",17073
"240",240,"Men","Asphyxiation","High School or more","45-69","Home",28610
"241",241,"Men","Firearm","High School or more","30-44","Street",7106
"242",242,"Men","Asphyxiation","Primary or less","45-69","Other",26758
"243",243,"Men","Asphyxiation","High School or more","20-29","Street",24158
"244",244,"Men","Firearm","Primary or less","30-44","Street",21860
"245",245,"Women","Firearm","Primary or less","30-44","Other",18081
"246",246,"Men","Firearm","Primary or less","69 +","Other",10704
"247",247,"Men","Other","Primary or less","69 +","Street",4313
"248",248,"Men","Firearm","Primary or less","30-44","Other",23489
"249",249,"Men","Firearm","Primary or less","20-29","Other",6075
"250",250,"Men","Firearm","Primary or less","20-29","Other",12595
"251",251,"Women","Firearm","Primary or less","20-29","Street",24212
"252",252,"Men","Firearm","Primary or less","30-44","Other",1902
"253",253,"Men","Firearm","Primary or less","20-29","Street",5288
"254",254,"Men","Knife","Primary or less","69 +","Other",504
"255",255,"Men","Knife","Primary or less","45-69","Other",3795
"256",256,"Men","Non-specified means","Primary or less","69 +","Street",22657
"257",257,"Men","Firearm","Primary or less","30-44","Street",16676
"258",258,"Men","Firearm","High School or more","45-69","Street",30503
"259",259,"Men","Firearm","Middle school","20-29","Other",31552
"260",260,"Men","Firearm","Primary or less","30-44","Street",16583
"261",261,"Men","Firearm","High School or more","20-29","Street",30699
"262",262,"Men","Firearm","High School or more","20-29","Street",15043
"263",263,"Men","Knife","Primary or less","45-69","Street",12173
"264",264,"Men","Firearm","Primary or less","30-44","Street",30961
"265",265,"Men","Firearm","Middle school","30-44","Home",10583
"266",266,"Men","Firearm","Primary or less","30-44","Home",706
"267",267,"Men","Firearm","Primary or less","20-29","Other",15531
"268",268,"Men","Firearm","Primary or less","30-44","Street",1104
"269",269,"Men","Firearm","Middle school","30-44","Street",345
"270",270,"Men","Knife","Middle school","30-44","Other",25059
"271",271,"Men","Firearm","High School or more","30-44","Street",31178
"272",272,"Men","Firearm","Middle school","30-44","Other",7362
"273",273,"Men","Knife","Primary or less","30-44","Street",5885
"274",274,"Men","Firearm","Primary or less","30-44","Street",18589
"275",275,"Men","Other","Primary or less","30-44","Other",4197
"276",276,"Men","Asphyxiation","Primary or less","20-29","Street",3581
"277",277,"Men","Firearm","High School or more","20-29","Street",19454
"278",278,"Men","Firearm","High School or more","0-19","Street",7659
"279",279,"Men","Non-specified means","Primary or less","30-44","Other",22461
"280",280,"Men","Firearm","Primary or less","20-29","Street",21670
"281",281,"Men","Knife","Primary or less","45-69","Street",25692
"282",282,"Men","Non-specified means","Primary or less","0-19","Other",12829
"283",283,"Men","Knife","Primary or less","45-69","Street",23976
"284",284,"Men","Firearm","Middle school","30-44","Home",14015
"285",285,"Men","Asphyxiation","High School or more","45-69","Home",26246
"286",286,"Women","Firearm","High School or more","0-19","Street",27287
"287",287,"Men","Firearm","High School or more","30-44","Home",20975
"288",288,"Women","Firearm","Middle school","0-19","Home",24681
"289",289,"Men","Non-specified means","Primary or less","69 +","Other",16877
"290",290,"Men","Firearm","Primary or less","20-29","Street",13743
"291",291,"Women","Asphyxiation","High School or more","20-29","Other",20524
"292",292,"Men","Firearm","High School or more","30-44","Street",23930
"293",293,"Men","Firearm","Primary or less","45-69","Home",21802
"294",294,"Men","Firearm","Middle school","20-29","Street",27991
"295",295,"Men","Asphyxiation","High School or more","30-44","Street",27096
"296",296,"Men","Asphyxiation","High School or more","45-69","Street",20007
"297",297,"Men","Firearm","Primary or less","20-29","Street",24108
"298",298,"Men","Firearm","High School or more","30-44","Street",14197
"299",299,"Men","Firearm","High School or more","20-29","Street",11705
"300",300,"Men","Non-specified means","High School or more","30-44","Other",14164
"301",301,"Men","Knife","Primary or less","45-69","Home",19641
"302",302,"Men","Knife","High School or more","45-69","Home",20867
"303",303,"Men","Firearm","High School or more","30-44","Street",24079
"304",304,"Men","Firearm","High School or more","30-44","Street",11356
"305",305,"Men","Firearm","Middle school","0-19","Other",30346
"306",306,"Men","Firearm","High School or more","30-44","Other",17439
"307",307,"Men","Asphyxiation","Primary or less","20-29","Street",29947
"308",308,"Men","Knife","Primary or less","30-44","Other",18262
"309",309,"Men","Knife","High School or more","30-44","Home",2886
"310",310,"Men","Firearm","Middle school","30-44","Street",19321
"311",311,"Men","Firearm","Primary or less","20-29","Other",15087
"312",312,"Men","Asphyxiation","High School or more","20-29","Street",11410
"313",313,"Men","Firearm","High School or more","20-29","Street",26808
"314",314,"Men","Firearm","Middle school","30-44","Other",20934
"315",315,"Men","Firearm","High School or more","20-29","Other",26986
"316",316,"Men","Knife","Primary or less","30-44","Other",28686
"317",317,"Men","Firearm","Primary or less","30-44","Home",19371
"318",318,"Men","Asphyxiation","Primary or less","45-69","Street",24917
"319",319,"Men","Asphyxiation","Primary or less","45-69","Street",30021
"320",320,"Men","Firearm","High School or more","69 +","Street",31432
"321",321,"Men","Asphyxiation","Primary or less","20-29","Other",7449
"322",322,"Men","Asphyxiation","Primary or less","30-44","Street",26646
"323",323,"Men","Asphyxiation","Primary or less","30-44","Street",2874
"324",324,"Men","Firearm","High School or more","20-29","Street",21040
"325",325,"Men","Firearm","Primary or less","20-29","Street",5249
"326",326,"Men","Knife","Primary or less","45-69","Other",18910
"327",327,"Men","Knife","Primary or less","30-44","Other",18126
"328",328,"Men","Non-specified means","High School or more","30-44","Other",31854
"329",329,"Men","Firearm","Primary or less","20-29","Street",27762
"330",330,"Women","Firearm","Primary or less","20-29","Street",21185
"331",331,"Men","Firearm","High School or more","30-44","Street",4593
"332",332,"Women","Asphyxiation","Middle school","0-19","Street",22835
"333",333,"Men","Firearm","Primary or less","30-44","Other",26275
"334",334,"Men","Firearm","High School or more","20-29","Street",16262
"335",335,"Men","Firearm","High School or more","0-19","Street",13327
"336",336,"Men","Firearm","High School or more","20-29","Other",18275
"337",337,"Men","Firearm","Primary or less","30-44","Street",22860
"338",338,"Men","Firearm","High School or more","20-29","Home",3838
"339",339,"Men","Other","Primary or less","30-44","Other",15088
"340",340,"Men","Firearm","High School or more","20-29","Street",25782
"341",341,"Men","Firearm","Primary or less","30-44","Home",22247
"342",342,"Men","Firearm","Middle school","30-44","Other",15840
"343",343,"Men","Firearm","High School or more","30-44","Other",18805
"344",344,"Men","Non-specified means","Middle school","30-44","Street",21222
"345",345,"Men","Firearm","Middle school","0-19","Street",5489
"346",346,"Men","Firearm","Middle school","45-69","Street",1897
"347",347,"Men","Firearm","High School or more","20-29","Other",6143
"348",348,"Men","Firearm","High School or more","30-44","Street",30905
"349",349,"Women","Asphyxiation","High School or more","20-29","Street",28537
"350",350,"Men","Asphyxiation","Primary or less","20-29","Other",24874
"351",351,"Men","Firearm","Primary or less","45-69","Street",16428
"352",352,"Men","Asphyxiation","High School or more","20-29","Street",17154
"353",353,"Men","Asphyxiation","Primary or less","20-29","Street",584
"354",354,"Men","Firearm","Primary or less","30-44","Street",3147
"355",355,"Men","Asphyxiation","High School or more","30-44","Other",1378
"356",356,"Men","Firearm","Primary or less","45-69","Home",31879
"357",357,"Men","Firearm","High School or more","20-29","Street",24905
"358",358,"Men","Non-specified means","High School or more","20-29","Street",15539
"359",359,"Men","Other","High School or more","45-69","Street",28221
"360",360,"Men","Firearm","Middle school","45-69","Other",7482
"361",361,"Men","Firearm","Middle school","45-69","Home",14275
"362",362,"Men","Non-specified means","Middle school","20-29","Street",2737
"363",363,"Men","Firearm","High School or more","30-44","Street",26256
"364",364,"Men","Firearm","High School or more","45-69","Home",6663
"365",365,"Men","Other","Primary or less","30-44","Other",7929
"366",366,"Men","Firearm","Middle school","20-29","Home",17260
"367",367,"Men","Knife","High School or more","45-69","Other",21899
"368",368,"Men","Firearm","Primary or less","45-69","Street",23657
"369",369,"Men","Firearm","High School or more","20-29","Street",26367
"370",370,"Men","Asphyxiation","High School or more","30-44","Other",6946
"371",371,"Men","Firearm","Middle school","30-44","Home",2113
"372",372,"Women","Firearm","High School or more","20-29","Street",772
"373",373,"Men","Non-specified means","Primary or less","69 +","Other",12858
"374",374,"Men","Firearm","Middle school","30-44","Street",31542
"375",375,"Men","Firearm","High School or more","20-29","Street",25328
"376",376,"Men","Firearm","High School or more","30-44","Street",23063
"377",377,"Men","Firearm","High School or more","30-44","Other",8774
"378",378,"Women","Firearm","High School or more","20-29","Street",10367
"379",379,"Men","Firearm","High School or more","20-29","Street",26842
"380",380,"Men","Firearm","Middle school","20-29","Home",1145
"381",381,"Men","Firearm","High School or more","45-69","Street",20603
"382",382,"Women","Knife","High School or more","20-29","Street",31246
"383",383,"Women","Knife","Middle school","69 +","Home",27686
"384",384,"Men","Firearm","High School or more","30-44","Street",26389
"385",385,"Men","Firearm","High School or more","30-44","Home",21125
"386",386,"Men","Knife","High School or more","20-29","Street",16060
"387",387,"Men","Firearm","High School or more","30-44","Street",19045
"388",388,"Men","Firearm","High School or more","30-44","Other",496
"389",389,"Men","Firearm","High School or more","45-69","Home",30969
"390",390,"Men","Firearm","High School or more","30-44","Other",1712
"391",391,"Men","Firearm","High School or more","30-44","Other",2194
"392",392,"Men","Firearm","High School or more","30-44","Home",10674
"393",393,"Men","Knife","Middle school","20-29","Other",13066
"394",394,"Men","Firearm","Primary or less","30-44","Other",19146
"395",395,"Men","Firearm","High School or more","30-44","Street",31866
"396",396,"Men","Non-specified means","High School or more","30-44","Other",17998
"397",397,"Men","Firearm","High School or more","30-44","Other",21580
"398",398,"Men","Firearm","High School or more","30-44","Other",14008
"399",399,"Men","Firearm","Primary or less","45-69","Home",30442
"400",400,"Men","Firearm","Middle school","45-69","Home",25348
"401",401,"Men","Firearm","High School or more","30-44","Other",31048
"402",402,"Men","Firearm","Primary or less","20-29","Street",22367
"403",403,"Men","Firearm","High School or more","45-69","Other",8887
"404",404,"Men","Firearm","High School or more","30-44","Street",31046
"405",405,"Women","Knife","High School or more","45-69","Other",7936
"406",406,"Women","Asphyxiation","High School or more","20-29","Street",4994
"407",407,"Men","Asphyxiation","High School or more","30-44","Street",25665
"408",408,"Men","Asphyxiation","Middle school","45-69","Street",6045
"409",409,"Women","Asphyxiation","High School or more","20-29","Street",22906
"410",410,"Men","Non-specified means","Middle school","45-69","Other",21338
"411",411,"Men","Asphyxiation","High School or more","20-29","Street",30429
"412",412,"Men","Firearm","High School or more","20-29","Street",31403
"413",413,"Men","Firearm","Middle school","45-69","Home",24459
"414",414,"Women","Asphyxiation","High School or more","30-44","Street",8551
"415",415,"Men","Knife","Primary or less","20-29","Street",8490
"416",416,"Men","Firearm","High School or more","30-44","Other",16637
"417",417,"Men","Firearm","Middle school","30-44","Street",28330
"418",418,"Men","Non-specified means","High School or more","30-44","Other",13341
"419",419,"Men","Firearm","Middle school","69 +","Home",691
"420",420,"Men","Firearm","High School or more","20-29","Street",11588
"421",421,"Men","Firearm","High School or more","30-44","Other",25930
"422",422,"Men","Knife","Primary or less","45-69","Street",11432
"423",423,"Men","Asphyxiation","High School or more","30-44","Street",19546
"424",424,"Men","Knife","High School or more","45-69","Home",16125
"425",425,"Men","Firearm","Middle school","30-44","Home",12480
"426",426,"Men","Firearm","High School or more","20-29","Street",23993
"427",427,"Men","Knife","Primary or less","69 +","Street",11499
"428",428,"Men","Asphyxiation","High School or more","30-44","Other",18557
"429",429,"Men","Firearm","High School or more","30-44","Street",6072
"430",430,"Men","Firearm","Middle school","20-29","Other",18155
"431",431,"Men","Firearm","Primary or less","45-69","Other",11519
"432",432,"Women","Firearm","High School or more","0-19","Street",30335
"433",433,"Men","Firearm","High School or more","30-44","Street",31553
"434",434,"Men","Firearm","Middle school","20-29","Home",25352
"435",435,"Men","Firearm","Middle school","45-69","Home",540
"436",436,"Men","Firearm","High School or more","45-69","Home",14744
"437",437,"Men","Non-specified means","Middle school","30-44","Other",6324
"438",438,"Women","Firearm","High School or more","30-44","Street",18724
"439",439,"Men","Firearm","High School or more","20-29","Street",14189
"440",440,"Men","Firearm","Middle school","30-44","Street",551
"441",441,"Men","Firearm","High School or more","20-29","Street",16604
"442",442,"Men","Firearm","High School or more","30-44","Street",22829
"443",443,"Men","Firearm","Middle school","45-69","Street",10148
"444",444,"Men","Firearm","Middle school","20-29","Street",483
"445",445,"Men","Firearm","Middle school","45-69","Street",18119
"446",446,"Men","Firearm","Primary or less","30-44","Other",24983
"447",447,"Men","Firearm","High School or more","45-69","Other",1993
"448",448,"Men","Firearm","Primary or less","20-29","Other",23285
"449",449,"Men","Firearm","High School or more","30-44","Street",26736
"450",450,"Men","Other","Middle school","45-69","Home",1451
"451",451,"Men","Firearm","Primary or less","30-44","Street",2050
"452",452,"Men","Firearm","Middle school","30-44","Street",14826
"453",453,"Men","Firearm","High School or more","20-29","Home",2298
"454",454,"Men","Firearm","Middle school","45-69","Street",26437
"455",455,"Men","Firearm","High School or more","30-44","Street",19550
"456",456,"Men","Other","Middle school","45-69","Street",14945
"457",457,"Men","Knife","Middle school","20-29","Home",22128
"458",458,"Women","Knife","High School or more","0-19","Street",4728
"459",459,"Men","Firearm","High School or more","30-44","Street",28714
"460",460,"Men","Other","Primary or less","69 +","Other",809
"461",461,"Men","Non-specified means","High School or more","45-69","Other",13871
"462",462,"Men","Firearm","High School or more","20-29","Other",16356
"463",463,"Men","Firearm","High School or more","45-69","Home",9798
"464",464,"Men","Firearm","High School or more","30-44","Other",1525
"465",465,"Men","Firearm","Primary or less","30-44","Street",16544
"466",466,"Men","Firearm","Middle school","45-69","Street",15182
"467",467,"Men","Firearm","High School or more","20-29","Street",22631
